Rank,University,Lowest Place,Number of Lowest Place
1,ETH Zürich,1.0,12
2,Universität Stuttgart,1.0,10
3,TU Delft,1.0,6
4,Tallinn TU UAS,1.0,4
5,Technical University of Munich,1.0,4
6,Westsächsische Hochschule Zwickau,1.0,3
7,Czech Technical University in Prague,1.0,2
8,Duale Hochschule Baden-Württemberg Stuttgart,1.0,2
9,Karlsruhe Institute of Technology,1.0,2
10,Monash University,1.0,2
11,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1.0,2
12,Technische Universität Bergakademie Freiberg,1.0,2
13,Technische Universität Dresden,1.0,2
14,University of Washington,1.0,2
15,Carnegie Mellon University,1.0,1
16,Fachhochschule München,1.0,1
17,Hochschule Bonn-Rhein-Sieg,1.0,1
18,Hochschule Esslingen,1.0,1
19,National Technical University of Athens,1.0,1
20,Pimpri Chinchwad College Of Engineering,1.0,1
21,Politecnico di Torino,1.0,1
22,Rheinisch-Westfälische Technische Hochschule Aachen,1.0,1
23,University of Pennsylvania,1.0,1
24,University of Wollongong,1.0,1
25,Universität Bayreuth,1.0,1
26,École Polytechnique de Montréal,1.0,1
27,Technische Universiteit Eindhoven,2.0,3
28,GFR DHBW Ravensburg &amp; Oregon State University,2.0,2
29,Norwegian University of Science and Technology,2.0,2
30,Technische Universität Hamburg,2.0,2
31,University of Canterbury,2.0,2
32,Budapest University of Technology and Economics,2.0,1
33,Fachhochschule Joanneum Graz,2.0,1
34,Fachhochschule Kiel,2.0,1
35,K. J. Somaiya College of Engineering,2.0,1
36,Leibniz Universität Hannover,2.0,1
37,Massachusetts Institute of Technology,2.0,1
38,Technische Universität Darmstadt,2.0,1
39,University of Auckland,2.0,1
40,University of California Davis,2.0,1
41,University of Ljubljana,2.0,1
42,University of Michigan - Ann Arbor,2.0,1
43,Université Laval,2.0,1
44,Warsaw University of Technology,2.0,1
45,Technische Hochschule Ingolstadt,3.0,3
46,Aristotle University of Thessaloniki,3.0,2
47,Brno University of Technology,3.0,2
48,Chalmers University of Technology,3.0,1
49,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,3.0,1
50,Helsinki Metropolia University of Applied Sciences,3.0,1
51,McGill University,3.0,1
52,Swinburne University of Technology,3.0,1
53,Technische Universität Graz,3.0,1
54,Technische Universität Wien,3.0,1
55,University of Queensland,3.0,1
56,University of Seville,3.0,1
57,University of Texas at Austin,3.0,1
58,Georg-Simon-Ohm-Hochschule Nürnberg,4.0,2
59,Universität Siegen,4.0,2
60,Alma Mater Studiorum - Università di Bologna,4.0,1
61,Deggendorf Institute of Technology,4.0,1
62,Fachhochschule Osnabrück,4.0,1
63,Georgia Institute of Technology,4.0,1
64,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,4.0,1
65,Hochschule für angewandte Wissenschaften Augsburg,4.0,1
66,Hochschule RheinMain,4.0,1
67,San José State University,4.0,1
68,The University of Akron,4.0,1
69,The University of Newcastle,4.0,1
70,UAS Würzburg-Schweinfurt,4.0,1
71,Universidade de Lisboa - Instituto Superior Técnico,4.0,1
72,University of Illinois at Urbana-Champaign,4.0,1
73,RMIT University,5.0,3
74,KU Leuven - Group T Campus,5.0,2
75,Duale Hochschule Baden-Württemberg - Mannheim,5.0,1
76,Imperial College London,5.0,1
77,Missouri University of Science and Technology,5.0,1
78,National Tsing Hua University,5.0,1
79,Ostfalia University of Applied Sciences,5.0,1
80,Politecnico di Milano,5.0,1
81,Technische Universität Clausthal,5.0,1
82,University of Adelaide,5.0,1
83,University of Nottingham,5.0,1
84,University of Wisconsin-Madison,5.0,1
85,Università degli Studi di Trento,5.0,1
86,Universität Duisburg-Essen,5.0,1
87,Universität Paderborn,5.0,1
88,Yıldız Technical University,5.0,1
89,Ostbayerische Technische Hochschule Regensburg,6.0,2
90,University of Manitoba,6.0,2
91,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),6.0,1
92,Hochschule für Angewandte Wissenschaften Hamburg,6.0,1
93,Hochschule für Angewandte Wissenschaften Hof,6.0,1
94,Hochschule Landshut,6.0,1
95,Slovak University of Technology in Bratislava,6.0,1
96,Technische Hochschule Köln,6.0,1
97,University of Melbourne,6.0,1
98,University of Stavanger,6.0,1
99,University of Technology Sydney,6.0,1
100,Università degli Studi di Parma,6.0,1
101,Universität Bremen,6.0,1
102,École Polytechnique Fédérale de Lausanne,6.0,1
103,Purdue University - West Lafayette,7.0,1
104,Saarland University,7.0,1
105,Technische Universität Braunschweig,7.0,1
106,Universidade Estadual de Campinas,7.0,1
107,University of Warwick,7.0,1
108,Università degli Studi di Roma La Sapienza,7.0,1
109,Hochschule Aalen - Technik und Wirtschaft,8.0,2
110,Hochschule Ruhr West - UAS,8.0,2
111,Escola d'Enginyeria de Barcelona Est. EEBE,8.0,1
112,Indian Institute of Technology Delhi,8.0,1
113,KTH Royal Institute of Technology,8.0,1
114,Olin College of Engineering,8.0,1
115,University of the Basque Country,8.0,1
116,Technische Universität Ilmenau,9.0,2
117,University of Bath,9.0,2
118,Bern University of Applied Sciences,9.0,1
119,Kennesaw State University,9.0,1
120,Liaoning University of Technology,9.0,1
121,Tongji University,9.0,1
122,University of Iceland,9.0,1
123,University of Southern Denmark,9.0,1
124,University of Tasmania,9.0,1
125,Università degli studi di Padova,9.0,1
126,Virginia Polytechnic Institute and State University,9.0,1
127,Technische Universität Kaiserslautern,10.0,2
128,Ben-Gurion University of the Negev,10.0,1
129,Fachhochschule für Wirtschaft und Technik,10.0,1
130,Nagoya University,10.0,1
131,University of Patras,10.0,1
132,Western University,10.0,1
133,École de Technologie Superieure,10.0,1
134,Curtin University,11.0,1
135,Fachhochschule Konstanz,11.0,1
136,Hochschule Mannheim,11.0,1
137,Moscow State Automobile &amp; Road Technical University - MADI,11.0,1
138,Universidad Pontificia Comillas,11.0,1
139,University of Surrey,11.0,1
140,Beijing Institute of Technology,12.0,1
141,TECNUN - University of Navarra,13.0,1
142,University of Agder,13.0,1
143,University of Zagreb,16.0,1
144,Hochschule Darmstadt UAS,19.0,1
145,Hefei University of Technology,21.0,1
146,Indian Institute of Technology Bombay,24.0,1
147,Indian Institute of Technology Roorkee,24.0,1
148,Newcastle University,26.0,1
