Rank,University,Wins
1,ETH Zürich,89
2,Universität Stuttgart,60
3,TU Delft,45
4,Technical University of Munich,40
5,Karlsruhe Institute of Technology,25
6,Westsächsische Hochschule Zwickau,25
7,Tallinn TU UAS,18
8,Technische Universität Dresden,16
9,Duale Hochschule Baden-Württemberg Stuttgart,12
10,Hochschule Bonn-Rhein-Sieg,11
11,Czech Technical University in Prague,10
12,Carnegie Mellon University,9
13,Fachhochschule München,9
14,Technische Universität Bergakademie Freiberg,9
15,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,8
16,Monash University,7
17,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),7
18,Politecnico di Torino,7
19,Rheinisch-Westfälische Technische Hochschule Aachen,7
20,Technische Universität Wien,7
21,Fachhochschule Joanneum Graz,6
22,National Technical University of Athens,6
23,RMIT University,6
24,Technische Universiteit Eindhoven,6
25,Technische Universität Darmstadt,6
26,University of Pennsylvania,6
27,Budapest University of Technology and Economics,5
28,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),5
29,GFR DHBW Ravensburg &amp; Oregon State University,5
30,University of Queensland,5
31,University of Seville,5
32,University of the Basque Country,5
33,Hochschule für angewandte Wissenschaften Augsburg,4
34,Norwegian University of Science and Technology,4
35,Ostfalia University of Applied Sciences,4
36,Pimpri Chinchwad College Of Engineering,4
37,Aristotle University of Thessaloniki,3
38,Brno University of Technology,3
39,Helsinki Metropolia University of Applied Sciences,3
40,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,3
41,Hochschule RheinMain,3
42,McGill University,3
43,Technische Universität Hamburg,3
44,Technische Universität Kaiserslautern,3
45,Universidade de Lisboa - Instituto Superior Técnico,3
46,University of Patras,3
47,Deggendorf Institute of Technology,2
48,Leibniz Universität Hannover,2
49,Massachusetts Institute of Technology,2
50,Niigata Institute of Technology,2
51,Politecnico di Milano,2
52,Purdue University - West Lafayette,2
53,Technische Universität Graz,2
54,Tongji University,2
55,UAS Würzburg-Schweinfurt,2
56,University of Adelaide,2
57,University of Auckland,2
58,University of Bath,2
59,University of Canterbury,2
60,University of Manitoba,2
61,University of Washington,2
62,University of Wisconsin-Madison,2
63,University of Wollongong,2
64,Universität Bayreuth,2
65,École Polytechnique de Montréal,2
66,Alma Mater Studiorum - Università di Bologna,1
67,Fachhochschule Kiel,1
68,Fachhochschule Osnabrück,1
69,Griffith University,1
70,Hochschule Aalen - Technik und Wirtschaft,1
71,Hochschule Esslingen,1
72,Indian Institute of Technology Bombay,1
73,Indian Institute of Technology Delhi,1
74,Iwate University,1
75,K. J. Somaiya College of Engineering,1
76,KTH Royal Institute of Technology,1
77,Missouri University of Science and Technology,1
78,Moscow State Automobile &amp; Road Technical University - MADI,1
79,Nagoya University,1
80,Oxford Brookes University,1
81,Ryerson University,1
82,Saarland University,1
83,Shizuoka Institute of Science and Technology,1
84,Slovak University of Technology in Bratislava,1
85,Swinburne University of Technology,1
86,Technische Universität Berlin,1
87,Technische Universität Braunschweig,1
88,Technische Universität Chemnitz,1
89,Tohoku University,1
90,Toyohashi University of Technology,1
91,Toyota Technical College Nagoya,1
92,Universidade Estadual de Campinas,1
93,University of Applied Sciences Ravensburg-Weingarten,1
94,University of California Davis,1
95,University of Michigan - Ann Arbor,1
96,University of Nottingham,1
97,University of Stavanger,1
98,University of Strathclyde,1
99,University of Surrey,1
100,University of Technology Sydney,1
101,University of Texas at Austin,1
102,Université Laval,1
103,École de Technologie Superieure,1
104,École Polytechnique Fédérale de Lausanne,1
