Rank,University,Lowest Place,#
1,ETH Zürich,1st,12
2,Universität Stuttgart,1st,12
3,Technical University of Munich,1st,10
4,Karlsruhe Institute of Technology,1st,7
5,TU Delft,1st,7
6,Westsächsische Hochschule Zwickau,1st,6
7,Duale Hochschule Baden-Württemberg Stuttgart,1st,3
8,Fachhochschule Joanneum Graz,1st,3
9,Hochschule Bonn-Rhein-Sieg,1st,3
10,Tallinn TU UAS,1st,3
11,Technische Universität Graz,1st,3
12,Carnegie Mellon University,1st,2
13,Czech Technical University in Prague,1st,2
14,GFR DHBW Ravensburg & Oregon State University,1st,2
15,GFR DHBW Ravensburg & Oregon State University,1st,2
16,Monash University,1st,2
17,Norwegian University of Science and Technology,1st,2
18,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,2
19,Rheinisch-Westfälische Technische Hochschule Aachen,1st,2
20,Barcelona School of Industrial Engineering - ETSEIB - UPC,1st,1
21,Fachhochschule München,1st,1
22,Georgia Institute of Technology,1st,1
23,Hochschule Esslingen,1st,1
24,Massachusetts Institute of Technology,1st,1
25,National Technical University of Athens,1st,1
26,Niigata Institute of Technology,1st,1
27,Pimpri Chinchwad College Of Engineering,1st,1
28,Politecnico di Torino,1st,1
29,Shizuoka Institute of Science and Technology,1st,1
30,Swinburne University of Technology,1st,1
31,Technische Universität Berlin,1st,1
32,Technische Universität Dresden,1st,1
33,Tohoku University,1st,1
34,Toyota Technical College Nagoya,1st,1
35,University of Auckland,1st,1
36,University of Pennsylvania,1st,1
37,École de Technologie Superieure,1st,1
38,Alma Mater Studiorum - Università di Bologna,2nd,1
39,Brno University of Technology,2nd,1
40,Budapest University of Technology and Economics,2nd,1
41,Coventry University,2nd,1
42,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2nd,1
43,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2nd,1
44,Politecnico di Milano,2nd,1
45,Purdue University - West Lafayette,2nd,1
