Rank,University,Lowest Place,#
1,ETH Zürich,1.0,16
2,Universität Stuttgart,1.0,14
3,Duale Hochschule Baden-Württemberg Stuttgart,1.0,5
4,Karlsruhe Institute of Technology,1.0,5
5,Technische Universität Dresden,1.0,5
6,TU Delft,1.0,4
7,Tallinn TU UAS,1.0,3
8,Technical University of Munich,1.0,3
9,GFR DHBW Ravensburg & Oregon State University,1.0,2
10,Hochschule Bonn-Rhein-Sieg,1.0,2
11,Technische Universität Darmstadt,1.0,2
12,Budapest University of Technology and Economics,1.0,1
13,Carnegie Mellon University,1.0,1
14,Czech Technical University in Prague,1.0,1
15,Helsinki Metropolia University of Applied Sciences,1.0,1
16,Leibniz Universität Hannover,1.0,1
17,Massachusetts Institute of Technology,1.0,1
18,McGill University,1.0,1
19,National Technical University of Athens,1.0,1
20,Norwegian University of Science and Technology,1.0,1
21,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1.0,1
22,Ostfalia University of Applied Sciences,1.0,1
23,RMIT University,1.0,1
24,Technische Universiteit Eindhoven,1.0,1
25,Technische Universität Wien,1.0,1
26,Tongji University,1.0,1
27,University of Auckland,1.0,1
28,University of Pennsylvania,1.0,1
29,Westsächsische Hochschule Zwickau,2.0,4
30,Fachhochschule München,2.0,3
31,Rheinisch-Westfälische Technische Hochschule Aachen,2.0,2
32,Università degli studi di Padova,2.0,2
33,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2.0,1
34,Hochschule für angewandte Wissenschaften Augsburg,2.0,1
35,KU Leuven - Group T Campus,2.0,1
36,Monash University,2.0,1
37,Swinburne University of Technology,2.0,1
38,UAS Würzburg-Schweinfurt,2.0,1
39,Universidade Estadual de Campinas,2.0,1
40,University of Canterbury,2.0,1
41,University of Michigan - Ann Arbor,2.0,1
42,University of the Basque Country,2.0,1
43,Universität Bayreuth,2.0,1
44,École Polytechnique de Montréal,2.0,1
45,Politecnico di Torino,3.0,4
46,Nagoya University,3.0,2
47,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),3.0,1
48,Fachhochschule Kiel,3.0,1
49,Georgia Institute of Technology,3.0,1
50,Hochschule Mannheim,3.0,1
51,Missouri University of Science and Technology,3.0,1
52,Ostbayerische Technische Hochschule Regensburg,3.0,1
53,Purdue University - West Lafayette,3.0,1
54,Technische Hochschule Ingolstadt,3.0,1
55,Universidade de Lisboa - Instituto Superior Técnico,3.0,1
56,University of Adelaide,3.0,1
57,University of Bath,3.0,1
58,University of Ljubljana,3.0,1
59,University of Patras,3.0,1
60,University of Queensland,3.0,1
61,Université Laval,3.0,1
62,Warsaw University of Technology,3.0,1
63,The University of Akron,4.0,2
64,Universität Siegen,4.0,2
65,Chalmers University of Technology,4.0,1
66,Georg-Simon-Ohm-Hochschule Nürnberg,4.0,1
67,Technische Universität Bergakademie Freiberg,4.0,1
68,Ulm University of Applied Sciences,4.0,1
69,University of California Davis,4.0,1
70,University Of Hertfordshire,4.0,1
71,Aristotle University of Thessaloniki,5.0,2
72,Hochschule Esslingen,5.0,2
73,Università degli Studi di Parma,5.0,2
74,Hochschule RheinMain,5.0,1
75,National Tsing Hua University,5.0,1
76,University of Technology Sydney,5.0,1
77,University of Western Australia,5.0,1
78,Yıldız Technical University,5.0,1
79,École Polytechnique Fédérale de Lausanne,5.0,1
80,Slovak University of Technology in Bratislava,6.0,2
81,Technische Universität Hamburg,6.0,2
82,Brno University of Technology,6.0,1
83,Deggendorf Institute of Technology,6.0,1
84,Hochschule Aalen - Technik und Wirtschaft,6.0,1
85,Leopold-Franzens-Universität Innsbruck,6.0,1
86,Politecnico di Milano,6.0,1
87,Technische Universität Braunschweig,6.0,1
88,Technische Universität Clausthal,6.0,1
89,University of Illinois at Urbana-Champaign,6.0,1
90,University of Manitoba,6.0,1
91,University of Texas at Austin,6.0,1
92,University of Wisconsin-Madison,6.0,1
93,University of Wollongong,6.0,1
94,Università degli Studi di Roma La Sapienza,6.0,1
95,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,7.0,2
96,Hochschule Ruhr West - UAS,7.0,2
97,Alma Mater Studiorum - Università di Bologna,7.0,1
98,Bern University of Applied Sciences,7.0,1
99,Hochschule für Angewandte Wissenschaften Hof,7.0,1
100,Technische Hochschule Köln,7.0,1
101,Technische Universität Graz,7.0,1
102,University of Iceland,7.0,1
103,University of Seville,7.0,1
104,University of Tasmania,7.0,1
105,Universität Duisburg-Essen,7.0,1
106,Universität Paderborn,7.0,1
107,Duale Hochschule Baden-Württemberg - Mannheim,8.0,1
108,Fachhochschule Osnabrück,8.0,1
109,The University of Newcastle,8.0,1
110,Fachhochschule für Wirtschaft und Technik,9.0,1
111,KTH Royal Institute of Technology,9.0,1
112,Saarland University,9.0,1
113,Tohoku University,9.0,1
114,Hochschule Landshut,10.0,1
115,Technische Universität Kaiserslautern,10.0,1
116,University of Surrey,10.0,1
117,Technische Universität Ilmenau,11.0,1
118,University of Southern Denmark,12.0,1
119,Fachhochschule Joanneum Graz,13.0,2
120,Friedrich-Alexander-Universität Erlangen-Nürnberg,13.0,1
121,TECNUN - University of Navarra,13.0,1
122,University of Zagreb,14.0,1
123,Ben-Gurion University of the Negev,17.0,1
124,Escola d'Enginyeria de Barcelona Est. EEBE,17.0,1
125,Fachhochschule Konstanz,17.0,1
126,Thomas More Mechelen - De Nayer,17.0,1
127,Liaoning University of Technology,18.0,1
128,Moscow State Automobile & Road Technical University - MADI,18.0,1
129,Zürcher Hochschule für Angewandte Wissenschaften,18.0,1
130,Indian Institute of Technology Delhi,19.0,1
131,Lund University,19.0,1
132,Technische Universität Berlin,20.0,1
133,Universität Bremen,20.0,1
134,Central South University - Changsha,22.0,1
135,Jilin University,22.0,1
136,Shizuoka Institute of Science and Technology,24.0,1
137,Hochschule Pforzheim,28.0,1
138,Hochschule für Angewandte Wissenschaften Hamburg,32.0,1
139,Toyota Technical College Nagoya,33.0,1
140,Iwate University,37.0,1
141,Indian Institute of Technology Bombay,40.0,1
142,Niigata Institute of Technology,40.0,1
143,Daido Institute of Technology,46.0,1
144,Kanagawa University,55.0,1
145,Toyohashi University of Technology,59.0,1
146,AGH University of Science and Technology,inf,0
147,Ain Shams University,inf,0
148,Beijing Institute of Technology,inf,0
149,Belgorod state technological university named after V. G. Shukhov,inf,0
150,Brunel University London,inf,0
151,Cairo University,inf,0
152,California Baptist University,inf,0
153,California Institute of Technology,inf,0
154,California State Polytechnic University - San Luis Obispo,inf,0
155,COEP Technological University ,inf,0
156,Concordia University,inf,0
157,Cornell University,inf,0
158,Coventry University,inf,0
159,Curtin University,inf,0
160,Delhi Technological University,inf,0
161,Democritus University of Thrace,inf,0
162,Drexel University,inf,0
163,Duale Hochschule Baden-Württemberg Mosbach,inf,0
164,Dwarkadas. J. Sanghvi College of Engineering,inf,0
165,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),inf,0
166,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),inf,0
167,Gadjah Mada University,inf,0
168,Ghent University,inf,0
169,Griffith University,inf,0
170,Guangdong University of Technology,inf,0
171,Guangxi Science and Technology University Lushan College,inf,0
172,Harbin Institute of Technology at Weihai,inf,0
173,Hefei University of Technology,inf,0
174,Heriot-Watt University,inf,0
175,Hochschule Darmstadt UAS,inf,0
176,Hochschule Düsseldorf,inf,0
177,Hochschule für Technik und Wirtschaft Mittweida,inf,0
178,Hochschule Karlsruhe - Technik und Wirtschaft,inf,0
179,Hochschule Niederrhein,inf,0
180,Hubei University of Automotive Technology,inf,0
181,Imperial College London,inf,0
182,Indian Institute of Technology Roorkee,inf,0
183,Instituto Superior de Engenharia de Lisboa,inf,0
184,Islamic Azad University of Karaj,inf,0
185,Istanbul Technical University,inf,0
186,K. J. Somaiya College of Engineering,inf,0
187,Kanagawa Institute of Technology,inf,0
188,Karlstad University,inf,0
189,Kennesaw State University,inf,0
190,King Mongkut's University of Technology Thonburi,inf,0
191,Kingston University,inf,0
192,Kookmin University,inf,0
193,Kyushu Institute of Technology,inf,0
194,Lancaster  University,inf,0
195,Linköping University,inf,0
196,Liverpool John Moores University,inf,0
197,Loughborough University,inf,0
198,Manchester Metropolitan University,inf,0
199,McMaster University,inf,0
200,MCT's Rajiv Gandhi Institute of Technology,inf,0
201,MIT World Peace University,inf,0
202,National Cheng Kung University,inf,0
203,National Taipei University of Technology,inf,0
204,National Taiwan University,inf,0
205,Newcastle University,inf,0
206,North Carolina State University,inf,0
207,Olin College of Engineering,inf,0
208,Otto-von-Guericke-Universität Magdeburg,inf,0
209,Oxford Brookes University,inf,0
210,Pakistan Institute of Engineering & Applied Sciences,inf,0
211,Pimpri Chinchwad College Of Engineering,inf,0
212,Portland State University,inf,0
213,Poznan University of Technology,inf,0
214,PSG Institute of Technology and Applied Research,inf,0
215,Queen's University Belfast,inf,0
216,Queensland University of Technology,inf,0
217,R.V.College of Engineering,inf,0
218,Rajshahi University of Engineering & Technology,inf,0
219,Ramaiah Institute of Technology,inf,0
220,Rhein-Waal University of Applied Sciences,inf,0
221,Ruhr-Universität Bochum,inf,0
222,Rutgers The State University of New Jersey,inf,0
223,Ryerson University,inf,0
224,San Diego State University,inf,0
225,San José State University,inf,0
226,Sardar Patel College of Engineering Mumbai,inf,0
227,Seikei University,inf,0
228,Sepuluh Nopember Institute of Technology,inf,0
229,Smt. Kashibai Navale College of Engineering,inf,0
230,SRM Institute of Science and Technology - Kattankulathur,inf,0
231,Technical University of Cluj-Napoca,inf,0
232,Technical University of Denmark,inf,0
233,Technion - Israel Institute of Technology,inf,0
234,Technische Hochschule Ostwestfalen-Lippe,inf,0
235,Technische Universität Chemnitz,inf,0
236,Technische Universität Dortmund,inf,0
237,Texas A&M University,inf,0
238,The Hague University of Applied Sciences,inf,0
239,The University of Michigan-Dearborn,inf,0
240,UAS Kempten,inf,0
241,Universidad de Castilla-La Mancha,inf,0
242,Universidad de Oviedo,inf,0
243,Universidad Nacional Autónoma de México,inf,0
244,Universidad Politecnica Salesiana,inf,0
245,Universidad Politécnica de Cartagena,inf,0
246,Universidad Politécnica de Madrid (UPM),inf,0
247,Universidad Pontificia Comillas,inf,0
248,University College Dublin,inf,0
249,University of Agder,inf,0
250,University of Alcalá,inf,0
251,University of Applied Sciences Ravensburg-Weingarten,inf,0
252,University of Belgrade (Универзитет у Београду),inf,0
253,University of Birmingham,inf,0
254,University of Bristol,inf,0
255,University of British Columbia - Vancouver,inf,0
256,University of Burgundy - ISAT,inf,0
257,University of California - Santa Cruz,inf,0
258,University of California Berkeley,inf,0
259,University of California Irvine,inf,0
260,University of California Riverside,inf,0
261,University of Cincinnati,inf,0
262,University of Colorado - Colorado Springs,inf,0
263,University of Iowa,inf,0
264,University of Kansas,inf,0
265,University of La Laguna,inf,0
266,University of Leicester,inf,0
267,University of Maryland,inf,0
268,University of Melbourne,inf,0
269,University of Minnesota Twin Cities,inf,0
270,University of New Mexico,inf,0
271,University of New South Wales - Australian Defence Force Academy,inf,0
272,University of New South Wales,inf,0
273,University of North Carolina at Asheville,inf,0
274,University of Nottingham,inf,0
275,University of Ontario Institute of Technology,inf,0
276,University of Oxford,inf,0
277,University of South Australia,inf,0
278,University of Southampton,inf,0
279,University of Southern California,inf,0
280,University of Stavanger,inf,0
281,University of Strathclyde,inf,0
282,University of Sussex,inf,0
283,University of Texas at San Antonio,inf,0
284,University of Toronto,inf,0
285,University of Utah,inf,0
286,University of Warwick,inf,0
287,University of Washington,inf,0
288,University of Waterloo,inf,0
289,Università degli Studi di Napoli Federico II,inf,0
290,Università degli Studi di Trento,inf,0
291,Università degli studi di Trieste,inf,0
292,Universität der Bundeswehr München,inf,0
293,Universität Kassel,inf,0
