Rank,University,#,Points
155,University of Minnesota Twin Cities,1,196.0
156,Indian Institute of Technology Roorkee,1,195.0
157,The University of Michigan-Dearborn,2,193.0
158,Indian Institute of Technology Delhi,5,192.2
159,Yıldız Technical University,3,190.33
160,Karlstad University,1,190.0
161,Shizuoka Institute of Science and Technology,6,189.33
162,Otto-von-Guericke-Universität Magdeburg,1,189.0
163,Toyota Technical College Nagoya,7,188.14
164,MCT's Rajiv Gandhi Institute of Technology,1,188.0
165,Lund University,1,186.0
166,Hochschule Landshut,6,184.5
167,Technische Universität Chemnitz,6,184.17
168,PSG Institute of Technology and Applied Research,1,184.0
169,Technische Universität Berlin,10,183.9
170,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,183.33
171,Hochschule Karlsruhe - Technik und Wirtschaft,1,182.0
172,University of British Columbia - Vancouver,1,182.0
173,University of Sussex,1,182.0
174,University of Toronto,1,182.0
175,Università degli Studi di Napoli Federico II,2,180.5
176,Beijing Institute of Technology,1,178.0
177,Dwarkadas. J. Sanghvi College of Engineering,2,177.5
178,Duale Hochschule Baden-Württemberg Mosbach,1,177.0
179,Poznan University of Technology,2,177.0
180,University of California Berkeley,1,177.0
181,Concordia University,1,176.0
182,North Carolina State University,1,174.0
183,TECNUN - University of Navarra,14,174.0
184,University of California Riverside,1,174.0
185,Technion - Israel Institute of Technology,1,173.0
186,University of Waterloo,2,173.0
187,Central South University - Changsha,1,172.0
188,Ben-Gurion University of the Negev,6,171.83
189,Guangdong University of Technology,1,171.0
190,University College Dublin,1,171.0
191,University of North Carolina at Asheville,1,171.0
192,Università degli Studi di Roma La Sapienza,13,169.54
193,National Taiwan University,1,168.0
194,Portland State University,1,168.0
195,University of Birmingham,1,168.0
196,Universidad Politécnica de Madrid (UPM),7,165.71
197,Ruhr-Universität Bochum,2,165.5
198,Leopold-Franzens-Universität Innsbruck,3,165.33
199,University of Zagreb,4,163.75
200,Olin College of Engineering,3,162.33
201,Hochschule für Technik und Wirtschaft Mittweida,1,161.0
202,Cairo University,2,159.0
203,Niigata Institute of Technology,2,158.0
204,Universidad Nacional Autónoma de México,1,157.0
205,Kennesaw State University,2,156.5
206,Democritus University of Thrace,1,155.0
207,Bern University of Applied Sciences,8,154.25
208,Coventry University,1,154.0
209,Universität Duisburg-Essen,13,153.46
210,Kookmin University,1,153.0
211,University of New South Wales,2,151.5
212,VIT University - Chennai,1,151.0
213,AGH University of Science and Technology,4,149.75
214,University of Iceland,12,149.08
215,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),1,147.0
216,Istanbul Technical University,1,146.0
217,McMaster University,1,144.0
218,Tohoku University,7,142.43
