Rank,University,Points
170,Friedrich-Alexander-Universität Erlangen-Nürnberg,3.4
171,Hochschule Landshut,3.35
172,Texas A&M University,3.25
173,Toyota Technical College Nagoya,3.05
174,Università di Pisa,2.64
175,University of Bath,2.62
176,Daido Institute of Technology,2.5
177,Hochschule Darmstadt UAS,2.34
178,KTH Royal Institute of Technology,2.26
179,HES-SO Valais-Wallis,2.04
180,Saarland University,1.96
181,University of Porto,1.75
182,University of Iceland,1.7
183,Democritus University of Thrace,1.5
184,University of Manitoba,1.4
185,Zürcher Hochschule für Angewandte Wissenschaften,1.4
186,Gadjah Mada University,1.2
187,University of Minnesota Twin Cities,1.17
188,Ben-Gurion University of the Negev,1.0
189,University of Warwick,1.0
190,Otto-von-Guericke-Universität Magdeburg,0.88
191,University of South Australia,0.88
192,Yıldız Technical University,0.88
193,Universität Kassel,0.73
194,University Of Hertfordshire,0.7
195,Università degli Studi di Roma La Sapienza,0.66
196,Hochschule Düsseldorf,0.62
197,Indian Institute of Technology Bombay,0.57
198,Universität Bremen,0.41
199,Universität Duisburg-Essen,0.4
200,Technische Universität Chemnitz,0.31
201,AGH University of Science and Technology,0.0
202,Ain Shams University,0.0
203,Belgorod state technological university named after V. G. Shukhov,0.0
204,Brunel University London,0.0
205,Cairo University,0.0
206,California Baptist University,0.0
207,California Institute of Technology,0.0
208,Central South University - Changsha,0.0
209,Centro Universitário da FEI,0.0
210,Cooper Union,0.0
211,Dalhousie University,0.0
212,Delhi Technological University,0.0
213,Drexel University,0.0
214,Duale Hochschule Baden-Württemberg Mosbach,0.0
215,Dwarkadas. J. Sanghvi College of Engineering,0.0
216,ECAM LaSalle - Campus de Lyon,0.0
217,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),0.0
218,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),0.0
219,Fachhochschule Stralsund,0.0
220,Ghent University,0.0
221,Griffith University,0.0
222,Guangxi Science and Technology University Lushan College,0.0
223,Hanze University of Applied Sciences Groningen,0.0
224,Hefei University of Technology,0.0
225,Heriot-Watt University,0.0
226,Hochschule für Technik und Wirtschaft Mittweida,0.0
227,Hochschule Niederrhein,0.0
228,Imperial College London,0.0
229,Indian Institute of Technology Delhi,0.0
230,Indian Institute of Technology Roorkee,0.0
231,Instituto Superior de Engenharia de Lisboa,0.0
232,Islamic Azad University of Karaj,0.0
233,Istanbul Technical University,0.0
234,Kanagawa Institute of Technology,0.0
235,Karlstad University,0.0
236,King Mongkut's University of Technology Thonburi,0.0
237,Kingston University,0.0
238,Kookmin University,0.0
239,Kyushu Institute of Technology,0.0
240,Lancaster  University,0.0
241,Linköping University,0.0
242,Liverpool John Moores University,0.0
243,Loughborough University,0.0
244,Louisiana State University,0.0
245,Manchester Metropolitan University,0.0
246,McMaster University,0.0
247,MCT's Rajiv Gandhi Institute of Technology,0.0
248,MIT World Peace University,0.0
249,Moscow State Automobile & Road Technical University - MADI,0.0
250,Nanyang Technological University,0.0
251,National Cheng Kung University,0.0
252,National Taiwan University,0.0
253,National University of Sciences and Technology - Karachi,0.0
254,Newcastle University,0.0
255,Niigata Institute of Technology,0.0
256,North Carolina State University,0.0
257,Northwestern University,0.0
258,Olin College of Engineering,0.0
259,Pakistan Institute of Engineering & Applied Sciences,0.0
260,Portland State University,0.0
261,Poznan University of Technology,0.0
262,PSG Institute of Technology and Applied Research,0.0
263,R.V.College of Engineering,0.0
264,Rajshahi University of Engineering & Technology,0.0
265,Ramaiah Institute of Technology,0.0
266,Rensselaer Polytechnic Institute,0.0
267,Rhein-Waal University of Applied Sciences,0.0
268,Rutgers The State University of New Jersey,0.0
269,Ryerson University,0.0
270,San Diego State University,0.0
271,Sardar Patel College of Engineering Mumbai,0.0
272,Seikei University,0.0
273,Sepuluh Nopember Institute of Technology,0.0
274,Shizuoka Professional College of Automobile Technology,0.0
275,Silesian University of Technology,0.0
276,Smt. Kashibai Navale College of Engineering,0.0
277,SRM Institute of Science and Technology - Kattankulathur,0.0
278,Technical University of Cluj-Napoca,0.0
279,Technical University of Denmark,0.0
280,Technion - Israel Institute of Technology,0.0
281,Technische Hochschule Ostwestfalen-Lippe,0.0
282,Texas A&M University at Qatar,0.0
283,The Hague University of Applied Sciences,0.0
284,The Hong Kong Polytechnic University,0.0
285,The University of Michigan-Dearborn,0.0
286,Tokyo University of Technology,0.0
287,Toronto Metropolitan University,0.0
288,Universidad de Castilla-La Mancha,0.0
289,Universidad de Oviedo,0.0
290,Universidad Nacional Autónoma de México,0.0
291,Universidad Politecnica Salesiana,0.0
292,Universidad Politécnica de Cartagena,0.0
293,Universidad Politécnica de Madrid (UPM),0.0
294,Universidad Pontificia Comillas,0.0
295,University College Dublin,0.0
296,University of Alcalá,0.0
297,University of Belgrade (Универзитет у Београду),0.0
298,University of Birmingham,0.0
299,University of Bristol,0.0
300,University of Burgundy - ISAT,0.0
301,University of California - Santa Cruz,0.0
302,University of California Berkeley,0.0
303,University of California Irvine,0.0
304,University of California Riverside,0.0
305,University of California Santa Barbara,0.0
306,University of Cincinnati,0.0
307,University of Colorado - Colorado Springs,0.0
308,University of Florida,0.0
309,University of Glasgow,0.0
310,University of Iowa,0.0
311,University of Kansas,0.0
312,University of Kocaeli,0.0
313,University of La Laguna,0.0
314,University of Leicester,0.0
315,University of Liverpool,0.0
316,University of Maryland,0.0
317,University of Nevada - Reno,0.0
318,University of New Mexico,0.0
319,University of New South Wales - Australian Defence Force Academy,0.0
320,University of North Carolina at Asheville,0.0
321,University of North Carolina at Charlotte,0.0
322,University of Nottingham,0.0
323,University of Ontario Institute of Technology,0.0
324,University of Oxford,0.0
325,University of Southampton,0.0
326,University of Southern California,0.0
327,University of Stavanger,0.0
328,University of Sussex,0.0
329,University of Texas at San Antonio,0.0
330,University of Utah,0.0
331,University of Victoria,0.0
332,University of Waterloo,0.0
333,University of Windsor,0.0
334,Università degli Studi di Napoli Federico II,0.0
335,Università degli studi di Trieste,0.0
336,Universität der Bundeswehr München,0.0
337,VIT University - Chennai,0.0
338,VIT University - Vellore,0.0
339,Vitoria-University of the Basque Country,0.0
340,Vrije Universiteit Brussel,0.0
341,Western Washington University,0.0
