Rank,University,Lowest Place,Number of Lowest Place
1,ETH Zürich,1.0,25
2,TU Delft,1.0,8
3,Universität Stuttgart,1.0,5
4,Technical University of Munich,1.0,4
5,Westsächsische Hochschule Zwickau,1.0,4
6,Tallinn TU UAS,1.0,3
7,Technische Universität Wien,1.0,3
8,Hochschule Bonn-Rhein-Sieg,1.0,2
9,Monash University,1.0,2
10,Norwegian University of Science and Technology,1.0,2
11,University of Wisconsin-Madison,1.0,2
12,Brno University of Technology,1.0,1
13,Budapest University of Technology and Economics,1.0,1
14,Carnegie Mellon University,1.0,1
15,Duale Hochschule Baden-Württemberg Stuttgart,1.0,1
16,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),1.0,1
17,Fachhochschule Joanneum Graz,1.0,1
18,Karlsruhe Institute of Technology,1.0,1
19,McGill University,1.0,1
20,National Technical University of Athens,1.0,1
21,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1.0,1
22,Oxford Brookes University,1.0,1
23,Pimpri Chinchwad College Of Engineering,1.0,1
24,Technische Universiteit Eindhoven,1.0,1
25,Technische Universität Darmstadt,1.0,1
26,Universidade de Lisboa - Instituto Superior Técnico,1.0,1
27,École de Technologie Superieure,1.0,1
28,Politecnico di Torino,2.0,4
29,Fachhochschule München,2.0,2
30,KU Leuven - Group T Campus,2.0,2
31,Nagoya University,2.0,2
32,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2.0,1
33,GFR DHBW Ravensburg &amp; Oregon State University,2.0,1
34,Indian Institute of Technology Delhi,2.0,1
35,Politecnico di Milano,2.0,1
36,Technische Hochschule Ingolstadt,2.0,1
37,Technische Universität Bergakademie Freiberg,2.0,1
38,Universidade Estadual de Campinas,2.0,1
39,University of Auckland,2.0,1
40,University of Queensland,2.0,1
41,University of Washington,2.0,1
42,Università degli Studi di Parma,2.0,1
43,Université Laval,2.0,1
44,Western University,2.0,1
45,Czech Technical University in Prague,3.0,2
46,Hochschule Esslingen,3.0,2
47,University of Canterbury,3.0,2
48,Universität Siegen,3.0,2
49,K. J. Somaiya College of Engineering,3.0,1
50,Leibniz Universität Hannover,3.0,1
51,Rheinisch-Westfälische Technische Hochschule Aachen,3.0,1
