Rank,University,Lowest Place,#
1,Pimpri Chinchwad College Of Engineering,1st,1
2,Indian Institute of Technology Delhi,2nd,1
3,K. J. Somaiya College of Engineering,3rd,1
4,Indian Institute of Technology Bombay,4th,1
5,Dwarkadas. J. Sanghvi College of Engineering,5th,1
6,Smt. Kashibai Navale College of Engineering,6th,1
7,MIT World Peace University,7th,1
8,PSG Institute of Technology and Applied Research,9th,1
9,Ramaiah Institute of Technology,10th,1
10,Sardar Patel College of Engineering Mumbai,11th,1
11,MCT's Rajiv Gandhi Institute of Technology,12th,1
12,VIT University - Vellore,13th,1
13,SRM Institute of Science and Technology - Kattankulathur,19th,1
14,R.V.College of Engineering,20th,1
15,Indian Institute of Technology Roorkee,24th,1
16,VIT University - Chennai,30th,1
17,Delhi Technological University,N/A,0
