Rank,University,Lowest Place,#
1,Pimpri Chinchwad College Of Engineering,1st,1
2,Smt. Kashibai Navale College of Engineering,1st,1
3,K. J. Somaiya College of Engineering,2nd,1
4,Indian Institute of Technology Delhi,8th,1
5,Indian Institute of Technology Bombay,24th,1
6,Indian Institute of Technology Roorkee,24th,1
7,Delhi Technological University,N/A,0
8,Dwarkadas. J. Sanghvi College of Engineering,N/A,0
9,MCT's Rajiv Gandhi Institute of Technology,N/A,0
10,MIT World Peace University,N/A,0
11,PSG Institute of Technology and Applied Research,N/A,0
12,R.V.College of Engineering,N/A,0
13,Ramaiah Institute of Technology,N/A,0
14,Sardar Patel College of Engineering Mumbai,N/A,0
15,SRM Institute of Science and Technology - Kattankulathur,N/A,0
16,VIT University - Chennai,N/A,0
17,VIT University - Vellore,N/A,0
