Rank,University,Lowest Place,#
1,Indian Institute of Technology Delhi,1st,1
2,Pimpri Chinchwad College Of Engineering,1st,1
3,K. J. Somaiya College of Engineering,2nd,1
4,Dwarkadas. J. Sanghvi College of Engineering,4th,1
5,Smt. Kashibai Navale College of Engineering,5th,1
6,VIT University - Vellore,5th,1
7,MIT World Peace University,6th,1
8,R.V.College of Engineering,6th,1
9,Indian Institute of Technology Bombay,8th,1
10,Ramaiah Institute of Technology,9th,1
11,Sardar Patel College of Engineering Mumbai,10th,1
12,MCT's Rajiv Gandhi Institute of Technology,11th,1
13,Delhi Technological University,12th,1
14,PSG Institute of Technology and Applied Research,13th,1
15,SRM Institute of Science and Technology - Kattankulathur,15th,1
16,Indian Institute of Technology Roorkee,19th,1
17,VIT University - Chennai,29th,1
