Rank,University,Lowest Place,#
1,Indian Institute of Technology Bombay,1st,1
2,Sardar Patel College of Engineering Mumbai,1st,1
3,Dwarkadas. J. Sanghvi College of Engineering,2nd,1
4,Ramaiah Institute of Technology,2nd,1
5,Delhi Technological University,3rd,1
6,K. J. Somaiya College of Engineering,3rd,1
7,MIT World Peace University,4th,1
8,Indian Institute of Technology Roorkee,6th,1
9,Pimpri Chinchwad College Of Engineering,6th,1
10,Indian Institute of Technology Delhi,7th,1
11,VIT University - Vellore,8th,1
12,PSG Institute of Technology and Applied Research,9th,1
13,R.V.College of Engineering,11th,1
14,Smt. Kashibai Navale College of Engineering,11th,1
15,MCT's Rajiv Gandhi Institute of Technology,12th,1
16,VIT University - Chennai,14th,1
17,SRM Institute of Science and Technology - Kattankulathur,17th,1
